City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
578,Omboue,GA,80.96,few clouds,-1.5746,9.2618,Hotel Olako
582,Ishigaki,JP,78.57,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
593,Dire Dawa,ET,81.59,clear sky,9.5931,41.8661,Samrat Hotel
595,Abut,PH,86.41,broken clouds,17.3523,121.6036,Cinderella Resort
601,Palauig,PH,83.41,broken clouds,15.435,119.9045,Villa Raphael Resort
602,Noumea,NC,75.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
605,Alangayam,IN,82.89,broken clouds,12.6,78.75,Vinoth Lodge
610,Babol,IR,78.33,overcast clouds,36.5513,52.679,Reza Hotel
611,Taitung,TW,79.07,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
612,Sur,OM,88.95,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
615,Bachaquero,VE,77.74,overcast clouds,9.9694,-71.1494,Campo progreso Parroquia Rafael Urdaneta
617,Antalaha,MG,77.59,few clouds,-14.9003,50.2788,Hotel Vitasoa
618,Bloomingdale,US,76.86,clear sky,27.8936,-82.2404,Travel Club for Free
620,Batticaloa,LK,84.4,overcast clouds,7.7102,81.6924,Grand Star Guest House
621,Kuching,MY,89.82,scattered clouds,1.55,110.3333,Hilton Kuching
623,Mana,GF,76.78,broken clouds,5.6592,-53.7767,LE SAMANA
625,Leiyang,CN,84.33,few clouds,26.4024,112.8591,Dongyang Hotel
626,Boffa,GN,76.5,light rain,10.1667,-14.0333,Hôtel Niara Belly
628,Kiri Buru,IN,81.5,broken clouds,22.0833,85.35,Lucky India
631,Payo,ID,86.81,overcast clouds,-3.7508,103.6372,Mess keban agung
632,Mogadishu,SO,80.98,overcast clouds,2.0371,45.3438,Hotel Juba
634,Luang Prabang,LA,88.61,overcast clouds,19.8856,102.1347,The Luang Say Residence
636,Samarai,PG,81.75,broken clouds,-10.6167,150.6667,Nuli Sapi
638,Iracoubo,GF,76.71,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
639,Honiara,SB,79.74,broken clouds,-9.4333,159.95,Heritage Park Hotel
642,Oussouye,SN,76.17,light rain,12.485,-16.5469,Auberge du Routard
645,Turayf,SA,86.5,clear sky,31.6725,38.6637,Turaif
646,Sola,VU,81.05,scattered clouds,-13.8833,167.55,Leumerus Bungalows
