City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
293,Valparaiso,CL,-33.0393,-71.6273,51.44,81,100,3.44,overcast clouds
294,Dingle,PH,10.9995,122.6711,81.45,80,100,12.35,light rain
295,Port-Gentil,GA,-0.7193,8.7815,82.36,78,40,5.75,scattered clouds
296,Colares,PT,38.7992,-9.4469,68.32,92,75,11.99,broken clouds
297,Taoudenni,ML,22.6783,-3.9836,88.54,14,89,15.55,overcast clouds
298,Miri,MY,4.4148,114.0089,86.14,74,40,4.61,scattered clouds
299,Ouango,CF,4.3133,22.5552,77.86,81,100,1.95,light rain
300,Jardim,BR,-21.4803,-56.1381,69.26,93,100,3.18,overcast clouds
301,Lompoc,US,34.6391,-120.4579,54.59,90,0,5.75,clear sky
302,Shakawe,BW,-18.3667,21.85,83.52,31,100,14.63,overcast clouds
303,Bintulu,MY,3.1667,113.0333,84.61,83,40,3.44,thunderstorm
304,Hami,CN,42.8,93.45,70.97,11,0,3.42,clear sky
305,Padang,ID,-0.9492,100.3543,84.25,72,100,2.71,light rain
306,Alice Springs,AU,-23.7,133.8833,92.75,24,83,21.85,broken clouds
307,Vila,PT,42.0304,-8.1588,51.69,95,100,4.07,light rain
308,Ellenabad,IN,29.45,74.65,91.45,16,0,2.35,clear sky
309,Praia Da Vitoria,PT,38.7333,-27.0667,67.75,77,40,22.84,scattered clouds
310,Caravelas,BR,-17.7125,-39.2481,71.67,89,26,5.86,scattered clouds
311,Constitucion,CL,-35.3333,-72.4167,50.25,89,100,7.94,overcast clouds
312,Arraial Do Cabo,BR,-22.9661,-42.0278,70.3,89,91,22.84,overcast clouds
313,Monroe,US,43.1501,-77.6831,52.02,82,100,0.0,overcast clouds
314,Belaya Gora,RU,68.5333,146.4167,14.56,85,100,5.1,overcast clouds
315,Hambantota,LK,6.1241,81.1185,88.14,70,100,10.36,light rain
316,Vila Velha,BR,-20.3297,-40.2925,69.94,93,100,9.22,overcast clouds
317,Sabha,LY,27.0377,14.4283,73.4,38,0,12.5,clear sky
318,Tamahu,GT,15.3333,-90.1667,59.56,97,98,1.5,overcast clouds
319,Cabo San Lucas,MX,22.8909,-109.9124,72.05,78,7,10.63,clear sky
320,Nelson Bay,AU,-32.7167,152.15,66.09,82,56,5.99,broken clouds
321,Shahi,IN,28.55,79.3167,84.38,45,0,6.85,clear sky
322,Chernyshevskiy,RU,63.0128,112.4714,30.16,78,100,6.78,overcast clouds
323,Wasco,US,35.5941,-119.341,68.54,82,0,0.0,clear sky
324,Upernavik,GL,72.7868,-56.1549,37.44,95,100,26.96,light rain
325,Washougal,US,45.5826,-122.3534,59.49,87,0,3.0,clear sky
326,Elk Plain,US,47.0532,-122.3976,56.86,91,40,0.0,light intensity drizzle
327,Torbay,CA,47.6666,-52.7314,53.76,96,100,21.85,heavy intensity rain
328,Portland,US,45.5234,-122.6762,59.02,85,0,1.01,clear sky
329,Atar,MR,20.5169,-13.0499,86.36,28,14,9.53,few clouds
330,Zhigansk,RU,66.7697,123.3711,15.03,94,92,5.64,overcast clouds
331,Kavaratti,IN,10.5669,72.642,81.16,76,97,4.05,overcast clouds
332,Arlit,NE,18.7369,7.3853,86.22,18,0,14.74,clear sky
333,Presidente Medici,BR,-11.1753,-61.9014,71.24,94,100,2.15,overcast clouds
334,Marsaxlokk,MT,35.8419,14.5431,74.08,68,20,8.05,few clouds
335,Cortez,US,37.3489,-108.5859,44.04,80,98,0.81,overcast clouds
336,Wyndham,US,37.6985,-77.6125,57.13,90,100,10.36,moderate rain
337,Matagami,CA,49.7502,-77.6328,39.31,100,100,2.3,overcast clouds
338,Paka,MY,4.6374,103.4368,85.98,74,40,6.91,thunderstorm
339,Show Low,US,34.2542,-110.0298,45.09,94,100,0.0,mist
340,Udachnyy,RU,66.4167,112.4,22.21,96,100,3.71,overcast clouds
341,Albertville,US,34.2676,-86.2089,61.07,89,40,4.61,scattered clouds
342,Rochester,US,43.1548,-77.6156,52.14,81,100,0.0,light rain
343,Hovd,MN,48.0056,91.6419,51.71,22,97,4.18,overcast clouds
344,Pangai,TO,-19.8,-174.35,77.67,87,17,12.91,light rain
345,Shimizu,JP,43.0061,142.8847,62.35,91,100,6.89,moderate rain
346,Wewak,PG,-3.5534,143.6268,82.17,75,32,6.69,scattered clouds
347,Elmira,US,42.0898,-76.8077,50.22,83,85,4.81,overcast clouds
348,Haines Junction,CA,60.7522,-137.5108,40.95,100,100,2.3,overcast clouds
